id,texte_zarma,affichage
tts_1,afo,1
tts_8,ahakou,8
tts_6,iddou,6
tts_5,igou,5
tts_2,ihinka,2
tts_3,ihinza,3
tts_4,itaci,4
tts_10,iwey,10
tts_9,iyega,9
tts_7,iyye,7
tts_1000000,million,1000000
tts_20,waranka,20
tts_30,waranza,30
tts_50,waygou,50
tts_80,wayhakkou,80
tts_60,wayiddu,60
tts_70,wayiyye,70
tts_40,waytaci,40
tts_90,wayyegga,90
tts_0,yaamo,0
tts_100,zangou,100
tts_5000000,million gou,5000000
tts_2000000,million hinka,2000000
tts_3000000,million hinza,3000000
tts_4000000,million taci,4000000
tts_1000,zambar fo,1000
tts_100000,zambar zangou,100000
tts_200,zangou hinka,200
tts_900,zangou yega,900
tts_1/5,afo inafaysor igou,1/5
tts_1/10,afo inafaysor iwey,1/10
tts_1/9,afo inafaysor iyega,1/9
tts_1/7,afo inafaysor iyye,1/7
tts_1*6,afo ingaybor iddou,1*6
tts_1*5,afo ingaybor igou,1*5
tts_1*10,afo ingaybor iwey,1*10
tts_1*7,afo ingaybor iyye,1*7
tts_1+5,afo tonton igou,1+5
tts_1+10,afo tonton iwey,1+10
tts_1+9,afo tonton iyega,1+9
tts_1+7,afo tonton iyye,1+7
tts_1-0,afo zabou yaamo,1-0
tts_8/2,ahakou inafaysor ihinka,8/2
tts_8/3,ahakou inafaysor ihinza,8/3
tts_8/20,ahakou inafaysor waranka,8/20
tts_8/30,ahakou inafaysor waranza,8/30
tts_8*2,ahakou ingaybor ihinka,8*2
tts_8*3,ahakou ingaybor ihinza,8*3
tts_8*4,ahakou ingaybor itaci,8*4
tts_8*100,ahakou ingaybor zangou,8*100
tts_8+2,ahakou tonton ihinka,8+2
tts_8+3,ahakou tonton ihinza,8+3
tts_8+50,ahakou tonton waygou,8+50
tts_8+100,ahakou tonton zangou,8+100
tts_8-6,ahakou zabou iddou,8-6
tts_8-5,ahakou zabou igou,8-5
tts_8-3,ahakou zabou ihinza,8-3
tts_8-7,ahakou zabou iyye,8-7
tts_6/5,iddou inafaysor igou,6/5
tts_6/4,iddou inafaysor itaci,6/4
tts_6/9,iddou inafaysor iyega,6/9
tts_6/50,iddou inafaysor waygou,6/50
tts_6*3,iddou ingaybor ihinza,6*3
tts_6*4,iddou ingaybor itaci,6*4
tts_6*9,iddou ingaybor iyega,6*9
tts_6*0,iddou ingaybor yaamo,6*0
tts_6+5,iddou tonton igou,6+5
tts_6+4,iddou tonton itaci,6+4
tts_6+9,iddou tonton iyega,6+9
tts_6+0,iddou tonton yaamo,6+0
tts_6-5,iddou zabou igou,6-5
tts_6-2,iddou zabou ihinka,6-2
tts_6-4,iddou zabou itaci,6-4
tts_6-0,iddou zabou yaamo,6-0
tts_5/1,igou inafaysor afo,5/1
tts_5/10,igou inafaysor iwey,5/10
tts_5/9,igou inafaysor iyega,5/9
tts_5/7,igou inafaysor iyye,5/7
tts_5*1,igou ingaybor afo,5*1
tts_5*6,igou ingaybor iddou,5*6
tts_5*10,igou ingaybor iwey,5*10
tts_5*7,igou ingaybor iyye,5*7
tts_5+1,igou tonton afo,5+1
tts_5+10,igou tonton iwey,5+10
tts_5+7,igou tonton iyye,5+7
tts_5+0,igou tonton yaamo,5+0
tts_5-1,igou zabou afo,5-1
tts_5-2,igou zabou ihinka,5-2
tts_5-3,igou zabou ihinza,5-3
tts_5-4,igou zabou itaci,5-4
tts_2/8,ihinka inafaysor ahakou,2/8
tts_2/3,ihinka inafaysor ihinza,2/3
tts_2/30,ihinka inafaysor waranza,2/30
tts_2/100,ihinka inafaysor zangou,2/100
tts_2*8,ihinka ingaybor ahakou,2*8
tts_2*3,ihinka ingaybor ihinza,2*3
tts_2*50,ihinka ingaybor waygou,2*50
tts_2*100,ihinka ingaybor zangou,2*100
tts_2+8,ihinka tonton ahakou,2+8
tts_2+30,ihinka tonton waranza,2+30
tts_2+40,ihinka tonton waytaci,2+40
tts_2+100,ihinka tonton zangou,2+100
tts_3/8,ihinza inafaysor ahakou,3/8
tts_3/50,ihinza inafaysor waygou,3/50
tts_3/100,ihinza inafaysor zangou,3/100
tts_3*8,ihinza ingaybor ahakou,3*8
tts_3*2,ihinza ingaybor ihinka,3*2
tts_3*50,ihinza ingaybor waygou,3*50
tts_3*100,ihinza ingaybor zangou,3*100
tts_3+8,ihinza tonton ahakou,3+8
tts_3+6,ihinza tonton iddou,3+6
tts_3+2,ihinza tonton ihinka,3+2
tts_3+50,ihinza tonton waygou,3+50
tts_3-2,ihinza zabou ihinka,3-2
tts_4/6,itaci inafaysor iddou,4/6
tts_4/2,itaci inafaysor ihinka,4/2
tts_4/50,itaci inafaysor waygou,4/50
tts_4/100,itaci inafaysor zangou,4/100
tts_4*1,itaci ingaybor afo,4*1
tts_4*10,itaci ingaybor iwey,4*10
tts_4*9,itaci ingaybor iyega,4*9
tts_4*0,itaci ingaybor yaamo,4*0
tts_4+1,itaci tonton afo,4+1
tts_4+6,itaci tonton iddou,4+6
tts_4+9,itaci tonton iyega,4+9
tts_4+0,itaci tonton yaamo,4+0
tts_4-3,itaci zabou ihinza,4-3
tts_10/1,iwey inafaysor afo,10/1
tts_10/5,iwey inafaysor igou,10/5
tts_10/9,iwey inafaysor iyega,10/9
tts_10/7,iwey inafaysor iyye,10/7
tts_10*1,iwey ingaybor afo,10*1
tts_10*5,iwey ingaybor igou,10*5
tts_10*9,iwey ingaybor iyega,10*9
tts_10*7,iwey ingaybor iyye,10*7
tts_10+1,iwey tonton afo,10+1
tts_10+5,iwey tonton igou,10+5
tts_10+4,iwey tonton itaci,10+4
tts_10+7,iwey tonton iyye,10+7
